task_id,problem,seed,success,test_cases_passed,test_cases_total,runtime,local_tests,local_test_state,iteration_idx
minimum-time-to-visit-a-cell-in-a-grid,"from collections import deque
from typing import List

def minimumTime(grid: List[List[int]]) -> int:
    """"""
    You are given a `m x n` matrix `grid` consisting of non-negative integers
    where `grid[row][col]` represents the minimum time required to be able to
    visit the cell `(row, col)`, which means you can visit the cell `(row, col)`
    only when the time you visit it is greater than or equal to `grid[row][col]`.
    
    You are standing in the top-left cell of the matrix in the `0th` second, and
    you must move to any adjacent cell in the four directions: up, down, left, and
    right. Each move you make takes 1 second.
    
    Return the minimum time required in which you can visit the bottom-right cell
    of the matrix. If you cannot visit the bottom-right cell, then return `-1`.
    
    Example 1:
    
    Input: grid = [[0,1,3,2],[5,1,2,5],[4,3,8,6]]
    Output: 7
    Explanation: One of the paths that we can take is the following:
    - at t = 0, we are on the cell (0,0).
    - at t = 1, we move to the cell (0,1). It is possible because grid[0][1] <= 1.
    - at t = 2, we move to the cell (1,1). It is possible because grid[1][1] <= 2.
    - at t = 3, we move to the cell (1,2). It is possible because grid[1][2] <= 3.
    - at t = 4, we move to the cell (1,1). It is possible because grid[1][1] <= 4.
    - at t = 5, we move to the cell (1,2). It is possible because grid[1][2] <= 5.
    - at t = 6, we move to the cell (1,3). It is possible because grid[1][3] <= 6.
    - at t = 7, we move to the cell (2,3). It is possible because grid[2][3] <= 7.
    The final time is 7. It can be shown that it is the minimum time possible.
    
    Example 2:
    
    Input: grid = [[0,2,4],[3,2,1],[1,0,4]]
    Output: -1
    Explanation: There is no path from the top left to the bottom-right cell.
    
    Constraints:
    
    * `m == grid.length`
    * `n == grid[i].length`
    * `2 <= m, n <= 1000`
    * `4 <= m * n <= 105`
    * `0 <= grid[i][j] <= 105`
    * `grid[0][0] == 0`
    """"""
    m, n = len(grid), len(grid[0])
    queue = deque([(0, 0, 0)]  # (row, col, time)
    visited = {(0, 0)}
    
    while queue:
        r, c, t = queue.popleft()
        
        if r == m - 1 and c == n - 1:
            return t
        
        for dr, dc in [(-1, 0), (1, 0), (0, -1), (0, 1)]:
            nr, nc = r + dr, c + dc
            
            if 0 <= nr < m and 0 <= nc < n and t + 1 >= grid[nr][nc] and (nr, nc) not in visited:
                queue.append((nr, nc, t + 1))
                visited.add((nr, nc))
    
    return -1",55,False,-1,-1,-1,"**Tests that the code passed:**

No tests passed.


**Tests that the code failed:**

assert minimumTime([[0,1,3,2],[5,1,2,5],[4,3,8,6]]) == 7 # ERROR: This unit test fails because the function generated: '(' was never closed (<string>, line 51).
assert minimumTime([[0,2,4],[3,2,1],[1,0,4]]) == -1 # ERROR: This unit test fails because the function generated: '(' was never closed (<string>, line 51).","(False, False)",0
minimum-time-to-visit-a-cell-in-a-grid,"from collections import deque
from typing import List

def minimumTime(grid: List[List[int]]) -> int:
    if not grid or not grid[0]:
        return -1
    
    m, n = len(grid), len(grid[0])
    
    if grid[0][0] > 0:
        return -1
    
    queue = deque([(0, 0, 0)]  # (row, col, time)
    visited = [False] * (m * n)
    time_at_cell = [0] * (m * n)
    
    visited[0] = True
    time_at_cell[0] = 0
    
    while queue:
        r, c, t = queue.popleft()
        
        if r == m - 1 and c == n - 1:
            return t
        
        for dr, dc in [(-1, 0), (1, 0), (0, -1), (0, 1)]:
            nr, nc = r + dr, c + dc
            
            if 0 <= nr < m and 0 <= nc < n and t + 1 >= grid[nr][nc] and not visited[nr * n + nc]:
                queue.append((nr, nc, t + 1))
                visited[nr * n + nc] = True
                time_at_cell[nr * n + nc] = t + 1
    
    return -1",55,False,-1,-1,-1,,,1
find-the-string-with-lcp,"
from typing import List

def findTheString(lcp: List[List[int]]) -> str:
    n = len(lcp)
    dp = [[0] * n for _ in range(n)]
    dp[0][0] = chr(ord('a') + lcp[0][0] - 1)
    
    for i in range(1, n):
        dp[0][i] = chr(ord('a') + lcp[0][i] - 1)
        dp[i][0] = chr(ord('a') + lcp[i][0] - 1)
    
    for i in range(1, n):
        for j in range(1, n):
            if lcp[i][j] == 0:
                dp[i][j] = chr(ord('a') + lcp[i][j] - 1)
            elif lcp[i][j] == lcp[i-1][j-1]:
                dp[i][j] = dp[i-1][j-1]
            elif lcp[i][j] < lcp[i-1][j-1]:
                dp[i][j] = chr(ord(dp[i-1][j-1]) + 1)
            else:
                dp[i][j] = chr(ord(dp[i-1][j]) - 1)
    
    for i in range(n):
        if dp[i][i] > chr(ord('a') + lcp[i][i] - 1):
            return """"
    
    return """".join(chr(i) for i in dp)
",55,False,-1,-1,-1,"**Tests that the code passed:**

assert findTheString([[4,3,2,1],[3,3,2,1],[2,2,2,1],[1,1,1,3]]) == """"

**Tests that the code failed:**

assert findTheString([[4,0,2,0],[0,3,0,1],[2,0,2,0],[0,1,0,1]]) == ""abab"" # ERROR: This unit test fails. Output was , but expected value was: ""abab""
assert findTheString([[4,3,2,1],[3,3,2,1],[2,2,2,1],[1,1,1,1]]) == ""aaaa"" # ERROR: This unit test fails. Output was , but expected value was: ""aaaa""","(False, False, True)",0
find-the-string-with-lcp,"from typing import List

def findTheString(lcp: List[List[int]]) -> str:
    # Check if the input matrix is a square matrix
    if len(lcp)!= len(lcp[0]):
        raise ValueError(""Input matrix is not a square matrix"")

    # Check if the input matrix contains invalid values
    for i in range(len(lcp)):
        for j in range(len(lcp[0])):
            if lcp[i][j] < 0 or lcp[i][j] > len(lcp):
                raise ValueError(""Input matrix contains invalid values"")

    # Initialize the dp table
    dp = [[0] * len(lcp[0]) for _ in range(len(lcp))]

    # Fill in the dp table
    for i in range(len(lcp)):
        for j in range(len(lcp[0])):
            if i == 0 or j == 0:
                # Base case: if i or j is 0, the character is the first character of the string
                dp[i][j] = chr(ord('a') + lcp[i][j])
            elif lcp[i][j] == 0:
                # If the lcp value is 0, the characters are different
                dp[i][j] = chr(ord('a') + lcp[i][j])
            elif lcp[i][j] == lcp[i-1][j-1]:
                # If the lcp value is the same as the previous one, the characters are the same
                dp[i][j] = dp[i-1][j-1]
            elif lcp[i][j] < lcp[i-1][j-1]:
                # If the lcp value is less than the previous one, the character is one more than the previous one
                dp[i][j] = chr(ord(dp[i-1][j]) + 1)
            else:
                # If the lcp value is greater than the previous one, the character is one less than the previous one
                dp[i][j] = chr(ord(dp[i-1][j-1]) - 1)

    # Check if all elements in the lcp matrix are the same
    if all(lcp[i][0] == lcp[0][0] for i in range(len(lcp))):
        # If all elements are the same, return the string with all characters being the same
        return 'a' * lcp[0][0]

    # Return the string represented by the dp table
    return """".join(chr(dp[i][i]) for i in range(len(lcp)) if dp[i][i] <= ord('a') + lcp[i][i]) or """"",55,False,-1,-1,-1,,,1
handling-sum-queries-after-update,"
from typing import List

class SegmentTree:
    def __init__(self, nums: List[int]):
        self.n = len(nums)
        self.tree = [0] * (4 * self.n)
        self.build_tree(nums, 0, 0, self.n - 1)

    def build_tree(self, nums: List[int], node: int, start: int, end: int):
        if start == end:
            self.tree[node] = nums[start]
        else:
            mid = (start + end) // 2
            self.build_tree(nums, 2 * node + 1, start, mid)
            self.build_tree(nums, 2 * node + 2, mid + 1, end)
            self.tree[node] = self.tree[2 * node + 1] + self.tree[2 * node + 2]

    def update(self, node: int, start: int, end: int, left: int, right: int, val: int):
        if start > right or end < left:
            return
        if start >= left and end <= right:
            self.tree[node] = val
            return
        mid = (start + end) // 2
        self.update(2 * node + 1, start, mid, left, right, val)
        self.update(2 * node + 2, mid + 1, end, left, right, val)
        self.tree[node] = self.tree[2 * node + 1] + self.tree[2 * node + 2]

    def query(self, node: int, start: int, end: int, left: int, right: int):
        if start > right or end < left:
            return 0
        if start >= left and end <= right:
            return self.tree[node]
        mid = (start + end) // 2
        return self.query(2 * node + 1, start, mid, left, right) + self.query(2 * node + 2, mid + 1, end, left, right)

def handleQuery(nums1: List[int], nums2: List[int], queries: List[List[int]]) -> List[int]:
    n = len(nums1)
    segment_tree = SegmentTree(nums1)
    prefix_sum = [0] * n
    for i in range(n):
        prefix_sum[i] = nums2[i] + nums1[i] * 0
    result = []
    for query in queries:
        if query[0] == 1:
            left, right = query[1], query[2]
            segment_tree.update(0, 0, n - 1, left, right, 1 - nums1[left] if left == right else 0)
            for i in range(left, right + 1):
                prefix_sum[i] = prefix_sum[i - 1] if i > 0 else 0
                if nums1[i] == 1:
                    prefix_sum[i] += 1
                else:
                    prefix_sum[i] -= 1
        elif query[0] == 2:
            p = query[2]
            for i in range(n):
                prefix_sum[i] = prefix_sum[i] + nums1[i] * p
        else:
            result.append(segment_tree.query(0, 0, n - 1, 0, n - 1))
    return result
",55,False,-1,-1,-1,"**Tests that the code passed:**

assert handleQuery([1,0,1], [0,0,0], [[1,1,1],[2,1,0],[3,0,0]]) == [3]

**Tests that the code failed:**

assert handleQuery([1], [5], [[2,0,0],[3,0,0]]) == [5] # ERROR: This unit test fails. Output was [1], but expected value was: [5]","(True, False)",0
handling-sum-queries-after-update,"from typing import List, numpy as np

class SegmentTree:
    def __init__(self, nums: List[int]):
        self.n = len(nums)
        self.tree = np.zeros(4 * self.n, dtype=int)
        self.updates = np.zeros(4 * self.n, dtype=int)
        self.build_tree(nums, 0, 0, self.n - 1)

    def build_tree(self, nums: List[int], node: int, start: int, end: int):
        if start == end:
            self.tree[node] = nums[start]
        else:
            mid = (start + end) // 2
            self.build_tree(nums, 2 * node + 1, start, mid)
            self.build_tree(nums, 2 * node + 2, mid + 1, end)
            self.tree[node] = self.tree[2 * node + 1] + self.tree[2 * node + 2]

    def update(self, node: int, start: int, end: int, left: int, right: int, val: int):
        if start > right or end < left:
            return
        if start >= left and end <= right:
            self.updates[node] = val
            return
        mid = (start + end) // 2
        self.update(2 * node + 1, start, mid, left, right, val)
        self.update(2 * node + 2, mid + 1, end, left, right, val)

    def propagate_updates(self, node: int, start: int, end: int):
        if self.updates[node]!= 0:
            if start!= end:
                self.updates[2 * node + 1] += self.updates[node]
                self.updates[2 * node + 2] += self.updates[node]
            self.tree[node] += self.updates[node] * (end - start + 1)
            self.updates[node] = 0

    def query(self, node: int, start: int, end: int, left: int, right: int):
        if start > right or end < left:
            return 0
        if start >= left and end <= right:
            return self.tree[node]
        mid = (start + end) // 2
        self.propagate_updates(node, start, end)
        return self.query(2 * node + 1, start, mid, left, right) + self.query(2 * node + 2, mid + 1, end, left, right)

def handleQuery(nums1: List[int], nums2: List[int], queries: List[List[int]]) -> List[int]:
    n = len(nums1)
    segment_tree = SegmentTree(nums1)
    prefix_sum = np.zeros(n, dtype=int)
    for i in range(n):
        prefix_sum[i] = nums2[i] + nums1[i] * 0
    result = []
    for query in queries:
        if query[0] == 1:
            left, right = query[1], query[2]
            if left > right:
                continue
            segment_tree.update(0, 0, n - 1, left, right, 1 - nums1[left])
            prefix_sum[left] = 1 - nums1[left]
            if left!= right:
                prefix_sum[right] = 1 - nums1[right]
            for i in range(left + 1, right):
                prefix_sum[i] = prefix_sum[i - 1]
                if nums1[i] == 1:
                    prefix_sum[i] += 1
                else:
                    prefix_sum[i] -= 1
        elif query[0] == 2:
            p = query[2]
            for i in range(n):
                prefix_sum[i] = prefix_sum[i] + nums1[i] * p
                segment_tree.update(0, 0, n - 1, i, i, p)
        else:
            segment_tree.propagate_updates(0, 0, n - 1)
            result.append(int(sum(prefix_sum)))
    return result",55,False,-1,-1,-1,,,1
subsequence-with-the-minimum-score,"
def minimumScore(s: str, t: str) -> int:
    n, m = len(s), len(t)
    dp = [[0] * (m + 1) for _ in range(n + 1)]
    for i in range(1, n + 1):
        for j in range(1, m + 1):
            if s[i - 1] == t[j - 1]:
                dp[i][j] = dp[i - 1][j - 1] + 1
            else:
                dp[i][j] = max(dp[i - 1][j], dp[i][j - 1])
    left, right = n, m
    score = float('inf')
    while left >= 0 and right >= 0:
        if s[left - 1] == t[right - 1]:
            left -= 1
            right -= 1
        elif dp[left - 1][right] > dp[left][right - 1]:
            left -= 1
        else:
            right -= 1
        if left >= 0 and right >= 0:
            score = min(score, right - left)
    return score
",55,False,-1,-1,-1,"**Tests that the code passed:**

No tests passed.


**Tests that the code failed:**

assert minimumScore(""abacaba"", ""bzaa"") == 1 # ERROR: This unit test fails. Output was -3, but expected value was: 1
assert minimumScore(""cde"", ""xyz"") == 3 # ERROR: This unit test fails. Output was -3, but expected value was: 3","(False, False)",0
subsequence-with-the-minimum-score,"import sys

def minimumScore(s: str, t: str) -> int:
    if not t:
        return 0
    if not s:
        return len(t)

    n, m = len(s), len(t)
    dp = [[0] * (m + 1) for _ in range(n + 1)]
    for i in range(n + 1):
        dp[i][0] = i
    for j in range(m + 1):
        dp[0][j] = j

    for i in range(1, n + 1):
        for j in range(1, m + 1):
            if s[i - 1] == t[j - 1]:
                dp[i][j] = dp[i - 1][j - 1] + 1
            else:
                dp[i][j] = 1 + min(dp[i - 1][j], dp[i][j - 1])

    s_index, t_index = n, m
    score = sys.maxsize
    while s_index >= 0 and t_index >= 0:
        if s[s_index - 1] == t[t_index - 1]:
            score = min(score, t_index - s_index + 1)
            s_index -= 1
            t_index -= 1
        elif s_index > 0 and t_index > 0 and dp[s_index - 1][t_index] < dp[s_index][t_index - 1]:
            s_index -= 1
        else:
            t_index -= 1

    return score if score!= sys.maxsize else len(t)",55,False,-1,-1,-1,,,1
minimum-number-of-visited-cells-in-a-grid,"from typing import List

def minimumVisitedCells(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    dp = [[float('inf')] * n for _ in range(m)]
    dp[0][0] = 1

    for i in range(m):
        for j in range(n):
            if i == 0 and j == 0:
                continue
            for k in range(1, grid[i][j] + max(i, j) + 1):
                if 0 <= k < m and 0 <= k < n:
                    dp[k][j] = min(dp[k][j], dp[i][j] + 1)
                    dp[i][k] = min(dp[i][k], dp[i][j] + 1)

    return dp[m - 1][n - 1] if dp[m - 1][n - 1]!= float('inf') else -1",55,False,-1,-1,-1,"**Tests that the code passed:**

assert minimumVisitedCells([[2,1,0],[1,0,0]]) == -1

**Tests that the code failed:**

assert minimumVisitedCells([[3,4,2,1],[4,2,3,1],[2,1,0,0],[2,4,0,0]]) == 4 # ERROR: This unit test fails. Output was -1, but expected value was: 4
assert minimumVisitedCells([[3,4,2,1],[4,2,1,1],[2,1,1,0],[3,4,1,0]]) == 3 # ERROR: This unit test fails. Output was -1, but expected value was: 3","(False, False, True)",0
minimum-number-of-visited-cells-in-a-grid,"from collections import deque
from typing import List

def minimumVisitedCells(grid: List[List[int]]) -> int:
    if not grid or not grid[0]:
        return -1

    m, n = len(grid), len(grid[0])
    dp = [[float('inf')] * n for _ in range(m)]
    dp[0][0] = 1

    queue = deque([(0, 0, 1)])
    visited = set((0, 0))

    while queue:
        i, j, dist = queue.popleft()
        for k in range(max(0, i - grid[i][j] - i), min(m, i + 1)):
            if (k, j) not in visited:
                dp[k][j] = min(dp[k][j], dist)
                queue.append((k, j, dist + 1))
                visited.add((k, j))
        for k in range(max(0, j - grid[i][j] - j), min(n, j + 1)):
            if (i, k) not in visited:
                dp[i][k] = min(dp[i][k], dist)
                queue.append((i, k, dist + 1))
                visited.add((i, k))

    return dp[m - 1][n - 1] if dp[m - 1][n - 1]!= float('inf') else -1",55,False,-1,-1,-1,,,1
